저자명,발행년도,제목,학회지,논문/단행본
김영돈,1956,제주 방언의 어미 활용(1),한글,논문
김영돈,1957,제주 방언의 어미 활용(2),한글,논문
이숭녕,1957,제주도방언의 형태론적 연구,동방학지,논문
김영돈,1958,제주 방언의 어미 활용(3),한글,논문
박용후,1960,제주방언연구(고찰편),과학사,단행본
강근보,1972,제주도 방언 「잇다 」 활용고,제주대 논문집,논문
강근보,1977,제주도방언의 접미사 연구  특히 {ture}를 중심으로,제주대 논문집,논문
강근보,1977,속격 '-네'의 연구:제주도 방언의 '-네'를 중심으로,제주대 논문집,논문
강근보,1978,제주도방언의 곡용에 대하여,제주대 논문집,논문
강정희,1975,제주방언의 동사류 접미사 연구-종지법의 굴절접미사 형태소 분석을 중심으로-,이화여대 석사학위논문,단행본
강정희,1978,"제주 方言의 時相 연구 - 접속 접미사 -단_-당, -안(언)_앙(엉)을 중심으로-",이화어문논집,논문
강정희,1978,제주방언 접속문의 시제에 관한 일고,어학연구,논문
김귀자,1974,제주도 방언의 존경접미사 연구,이화여대 석사학위논문,단행본
김승태,1972,제주도 방언의 어미 활용에 대해서,국문학보,논문
성낙수,1975,"교육어의 '말입니다', '요'와 제주도 방언 {massim}에 대하여",연세어문학,논문
성낙수,1975,제주도 방언의 통사론적 연구,국어국문학,논문
현평효,1974,제주도방언의 정동사어미 연구,동국대 박사학위논문,단행본
현평효,1975,고려가요에 나타난 -고시- 형태에 대하여,국어학,논문
현평효,1977,"제주도방언의 '-저, -주' 어미에 대하여",어문논집,논문
현평효,1977,제주도 방언의 존대법,국어국문학,논문
현평효,1977,제주도 방언의 명령법 어미,성봉 김성배 박사 회갑기념논문집,논문
"현평효, 김홍식, 강근보",1974,제주도 방언의 활용어미에 대한 연구,논문집,논문
홍종림,1975,제주도 방언의 의문법에 대한 고찰,한국어교육학회,논문
홍종림,1975,"제주도방언의 선어말어미 '-암/엄-, -암시/엄시-, -안/언-, -아시/어시-'에 대하여",선청어문,논문
